FID,Profile_No,Horizon Sequence,State,District,Block,Village,texture,Sand,Silt,Clay,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,texture_score
95,P29,Ap_BC,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,17,29.4,53.6,6.7,0.66,1.02,167.7,16.4,356.7,45
96,P22,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,22.8,24.6,52.6,6.8,0.88,1.24,210.6,21.9,640.0,45
97,P25,Ap_BW_BW2_BSS1_BSS2,Maharashtra,Akola,Barshitakli,Sawarkhed,Clay,19,22.5,58.5,7.9,0.75,0.86,142.8,21.5,131.4,65
98,P6,Ap_BW_BSS1_BSS2_BSS2,Maharashtra,Akola,Barshitakli,Dhakali,Clay,7.4,23.6,69,7.8,0.17,0.95,166.6,17.8,640.0,65
99,P22,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,22.8,24.6,52.6,6.8,0.88,1.24,210.6,21.9,640.0,45
100,P25,Ap_BW_BW2_BSS1_BSS2,Maharashtra,Akola,Barshitakli,Sawarkhed,Clay,19,22.5,58.5,7.9,0.75,0.86,142.8,21.5,131.4,65
101,P3,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,14.7,29.2,56,7.2,0.98,0.92,184.8,57.6,768.2,45
103,P10,Ap_BW,Maharashtra,Akola,Barshitakli,Morhal,Clay,10.8,26.5,62.7,8.0,0.22,1.37,138.3,25.0,1092.2,65
104,P31,Ap_Bw,Maharashtra,Akola,Barshitakli,Morhal,Clay,5.8,27.1,67.1,8.0,0.14,0.8,167.9,30.1,1162.4,65
105,P12,Ap_Bw,Maharashtra,Akola,Barshitakli,Morhal,Clay,13.2,30.7,56.1,7.8,0.21,0.67,121.9,24.6,500.9,65
106,P32,Ap_BW_BSS1_BSS2_BSS3,Maharashtra,Akola,Barshitakli,Morhal,Clay,17.3,24.3,58.4,8.4,0.16,3.07,153.8,22.0,649.8,65
107,P9,Ap_Bw,Maharashtra,Akola,Barshitakli,Ghota,Gravely Clay,11.4,26.8,61.8,7.1,0.15,0.9,104.5,13.2,224.0,45
108,P5,Ap_BW,Maharashtra,Akola,Barshitakli,Chinchkhed Bk.,Gravely Clay,11.9,20.1,68,7.8,0.09,0.98,143.8,39.7,509.0,45
109,P24,Ap_Bw,Maharashtra,Akola,Barshitakli,Morhal,Clay,4.1,36.4,59.5,7.7,0.17,0.89,80.3,29.1,1124.4,65
110,P12,Ap_Bw,Maharashtra,Akola,Barshitakli,Morhal,Clay,13.2,30.7,56.1,7.8,0.21,0.67,121.9,24.6,500.9,65
111,P35,Ap_BW,Maharashtra,Akola,Barshitakli,Morhal,Gravely Clay,4.8,35.3,60,8.1,0.1,2.61,142.0,22.6,554.4,45
